,coal_c,elec_g,elec_c,hydro_g,nuclear_g,gas_g,oil_c,oil_g,country_Australia,country_Austria,country_Bangladesh,country_Belgium,country_Bulgaria,country_Canada,country_Denmark,country_Egypt,country_Finland,country_France,country_Germany,country_Greece,country_Hungary,country_Iceland,country_Indonesia,country_Ireland,country_Italy,country_Luxembourg,country_Netherlands,country_Norway,country_Poland,country_Portugal,country_Switzerland,country_UK,country_USA,country_Venezuela,country_infrequent_sklearn
119,-0.4235706756870069,-0.6812088491748205,-0.5185100684845094,-0.1490683489245622,-0.3781857185225449,-0.27512254904976585,0.010881751930874142,-0.24947619985833705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2559,-0.5179701475227694,-0.5829661230663278,-0.7928431146252343,-0.28768906290015783,-0.4034042857537125,-0.26496216073126544,-0.8993147986463049,-0.23632767989425862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
353,1.3982165340265384,-0.6812088491748205,-0.014361266630888799,-0.10276557931860597,-0.4034042857537125,-0.19232515385814025,0.514990610712081,-0.16124543262136307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,-0.14037226017971954,-0.08044397728835392,-0.2845089264920742,-0.33620631279161634,0.6866290231392467,-0.27512254904976585,-0.5275345152951648,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-0.5651698834406506,-0.6812088491748205,-0.7823796489263856,-0.1939331443191533,-0.4034042857537125,-0.27512254904976585,-0.7956924221190568,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2735,0.3941494245007016,0.5892321593145015,0.38325042992536296,-0.33991628625693826,-0.4034042857537125,0.09368000770349272,0.19992257397382673,-0.08275588725504597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,-0.0778479346781106,-0.6812088491748205,-0.3548995139206929,-0.16603644461867037,-0.18170259580938183,-0.27512254904976585,-0.13614999854697785,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
314,-0.5673766243407073,-0.6812088491748205,-0.8666581090098399,-0.3291027201874727,-0.400171136108691,-0.2748636545397271,-0.9768915508031907,-0.25055923389517454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2424,-0.6261004516255517,-0.5195324204171391,-0.7350086860352341,-0.3391397801828011,-0.4034042857537125,0.3354777104754967,-0.7844900030350299,-0.10222616207459749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2438,0.1366963194940768,0.43904094134288485,0.2729084280102309,-0.304369563751993,-0.4034042857537125,-0.27512254904976585,0.5009875868570475,-0.25129545366178885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
