country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,,,,,,,,,,,,90,98.7,112,136,139,60.4,58.4,56.5,58.7,60.7,58.6,60.4,63.3,52.2,60.6,58.5,56.8,55.2,53.7,53.3,54.5,53.6,52.2,50.8,49.4,51.2,69.3,73.3,71.9,75.3,82.6,86,95.8,87.5,109,145,133,172,189,206,207,219,279,310,,,,,
Albania,,,,,,,,,,,,532,568,593,591,739,909,1070,1100,1070,1140,1120,1100,1070,1020,796,1420,1160,1010,1020,552,418,454,536,596,664,904,695,735,1410,1450,1350,1580,1470,1800,1720,1220,1210,1620,1840,1940,2210,2120,2530,2310,,,,,
UAE,,,,,,,,,,,,549,1110,1520,1780,2340,2940,3890,4350,5110,5780,6100,7100,7620,7820,8090,8110,8060,8200,7930,8180,7860,8040,8890,9270,9330,9390,9660,10.8k,11.7k,11.8k,11.6k,12k,12k,12.2k,13.2k,12.7k,12k,11.5k,10.5k,10.7k,10.7k,11k,11.3k,11.6k,,,,,
Argentina,,,,,,,,,,,,876,927,964,994,1010,1030,1080,1090,1210,1240,1190,1200,1250,1300,1290,1330,1410,1450,1320,1300,1350,1410,1490,1570,1640,1720,1840,1960,2020,2080,2110,2000,2170,2280,2400,2360,2440,2760,2720,2880,2930,3000,2970,3070,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2710,2610,1890,1160,1020,1020,1170,1450,1260,1260,1260,1240,1210,1290,1410,1490,1600,1730,1630,1620,1690,1770,1870,1930,1980,,,,,
Australia,1830,1950,2010,2210,2420,2630,2770,2970,3100,3330,3610,3750,3880,4230,4580,4780,4900,5250,5420,5670,5920,6150,6390,6360,6680,6990,7310,7530,7800,8130,8530,8520,8560,8720,8840,9030,9150,9340,9840,10.1k,10.3k,10.7k,10.9k,10.5k,10.7k,10.6k,10.6k,11k,10.7k,10.8k,10.7k,10.6k,10.4k,10.2k,10.1k,,,,,
Austria,1810,1880,2010,2120,2230,2310,2380,2450,2610,2810,3020,3210,3400,3620,3770,3730,4070,4140,4340,4540,4680,4700,4730,4830,5070,5280,5320,5540,5720,5900,6110,6350,6230,6140,6210,6340,6610,6620,6710,6970,7080,7330,7430,7700,7810,7980,8240,8210,8230,7940,8380,8430,8550,8510,8360,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570,2630,2280,2120,1960,1950,1850,1810,1940,2020,2040,2110,2000,2240,2280,2390,2550,2120,2040,1620,1600,1710,2050,2090,2200,,,,,
Belgium,1580,1630,1750,1880,2060,2160,2260,2360,2600,2830,3030,3220,3610,3940,4130,3890,4250,4400,4620,4910,4890,4910,4900,5040,5290,5500,5620,5880,6060,6210,6380,6660,6850,6880,7180,7380,7530,7700,7910,7940,8250,8270,8310,8410,8580,8510,8680,8610,8520,7900,8390,8030,7990,7990,7710,,,,,
Benin,,,,,,,,,,,,10.4,11.4,18,16.4,17.5,18.8,20.6,44.8,24.1,26.9,31,17,35.5,31.4,32.4,30.1,29.9,35,32.7,33.9,35.7,37.9,37.9,38,40.9,43.7,47.1,44,51,57,60.3,67,63.5,69,72.3,73.4,77.9,84.3,85.7,93,89,90.5,93.9,97.1,,,,,
Bangladesh,,,,,,,,,,,,10.4,10.2,14.6,16.1,16.2,16.5,17.5,20.6,20.3,18.1,21.7,24.5,27.9,30.7,31.7,36,37.5,40.6,48.6,47.9,48.7,58.6,65.4,69.3,76.5,80.4,82.5,87.6,96,103,114,121,128,163,174,195,204,206,225,246,264,281,299,317,,,,,
Bulgaria,,,,,,,,,,,,2290,2490,2680,2840,3040,3250,3440,3650,3770,3970,4130,4400,4580,4770,4680,4650,4840,4940,4960,4760,4360,3740,3810,3830,4210,4350,3970,3930,3610,3670,3860,3850,4000,3970,4170,4370,4520,4670,4480,4560,4860,4760,4640,4710,,,,,
Bahrain,,,,,,,,,,,,1860,1850,1950,2120,2460,3000,3520,3660,4250,4580,4810,5140,5470,14.9k,15.4k,15.8k,14.1k,14.8k,14.8k,15k,13.5k,17.5k,20.2k,19k,18.9k,18.8k,19.2k,19.4k,19k,18.7k,19.2k,19.7k,19.8k,18.9k,21k,21.2k,20.5k,18.6k,17.5k,18.4k,18.9k,18.9k,19.5k,20k,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2920,2040,1100,732,935,979,1090,1280,1610,1650,1820,1850,1870,2010,2110,2200,2210,2240,2840,2790,3070,3270,3410,3400,3360,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380,4430,3910,3450,3070,2790,2810,2950,3020,3010,3000,3010,3000,3060,3170,3250,3370,3390,3480,3300,3570,3630,3700,3660,3690,,,,,
Bolivia,,,,,,,,,,,,162,170,170,177,185,195,211,222,231,247,259,257,246,245,237,227,226,238,249,257,272,281,303,323,342,360,379,396,409,407,409,422,430,440,469,499,530,519,538,586,618,643,683,728,,,,,
Brazil,,,,,,,,,,,,454,492,547,597,643,712,780,849,929,1000,1010,1040,1100,1200,1270,1340,1350,1400,1430,1440,1470,1480,1520,1550,1620,1670,1750,1800,1820,1890,1740,1800,1870,1950,2010,2070,2160,2220,2190,2370,2420,2490,2560,2610,,,,,
Brunei,,,,,,,,,,,,1720,1650,1580,1550,1500,1450,1400,1360,1310,1750,2330,2710,3150,3340,3300,3230,4190,4260,4260,4270,4410,4760,5210,5530,6340,6790,7590,7730,7360,7530,7170,7360,8530,8570,8430,8370,8530,8470,8700,8650,8610,9070,9700,10.1k,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,556,590,587,601,624,710,801,684,698,738,819,888,882,918,891,915,979,1040,1020,1100,1160,1210,1290,1410,1390,1420,1460,1470,1660,1480,1420,1650,1980,1680,,,,,
Canada,5630,5610,5790,5970,6470,6910,7360,7630,8030,8530,8960,9170,9800,10.2k,10.8k,10.5k,11.1k,11.8k,12.3k,12.4k,12.8k,13.2k,13k,13.5k,14.3k,14.9k,15.4k,15.8k,16.4k,16.5k,16.2k,16.2k,16.2k,16.3k,16.4k,16.5k,16.6k,16.7k,16.4k,16.7k,17k,16.8k,17k,17.2k,17.3k,16.9k,16.5k,16.7k,16.4k,15.5k,15.3k,15.6k,15.3k,15.8k,15.6k,,,,,
Switzerland,3080,3230,3280,3350,3450,3590,3650,3750,3850,4020,4310,4620,4780,5010,5030,4880,5080,5320,5520,5780,5990,6120,6190,6330,6600,6850,6990,7160,7200,7370,7450,7540,7430,7240,7160,7280,7390,7340,7480,7650,7850,7990,8030,8200,8210,8310,8360,8160,8310,8020,8170,7930,7890,7810,7520,,,,,
Chile,,,,,,,,,,,,758,785,755,797,728,765,790,830,873,899,915,883,901,961,983,1020,1050,1120,1200,1230,1310,1450,1510,1580,1740,1920,2070,2170,2390,2500,2630,2730,2900,3060,3100,3230,3350,3350,3310,3320,3600,3820,3890,3900,,,,,
China,,,,,,,,,,,,152,164,176,174,199,204,221,247,267,282,286,299,317,336,363,391,427,462,487,511,549,605,663,727,770,821,853,871,914,993,1080,1190,1380,1590,1780,2040,2330,2450,2610,2940,3300,3470,3760,3910,,,,,
Cote d'Ivoire,,,,,,,,,,,,90.4,97.2,107,109,118,131,141,154,191,177,184,183,175,131,150,152,171,176,161,161,148,153,144,146,175,160,170,184,172,170,178,172,169,168,166,176,181,189,195,209,192,230,229,271,,,,,
Cameroon,,,,,,,,,,,,154,157,154,171,176,167,157,158,157,158,200,224,219,210,230,214,214,216,217,205,198,195,197,172,165,170,180,177,182,180,170,159,172,198,191,252,260,274,271,268,262,253,257,280,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,161,158,166,168,166,161,158,148,142,149,134,128,135,138,144,146,141,140,163,126,121,112,101,98.2,105,102,93.3,91.3,92.5,93.6,92.3,86.6,87.2,85.4,86.7,98.6,102,98.2,104,102,105,109,114,105,,,,,
"Congo, Rep.",,,,,,,,,,,,53.5,54.5,59.4,60.1,62.8,65.4,67.4,69.3,73.3,80.9,68.4,103,98.9,149,112,175,178,166,168,172,183,175,158,142,150,153,129,111,69.6,95.4,104,115,114,104,116,124,123,133,141,135,142,205,204,194,,,,,
Colombia,,,,,,,,,,,,426,412,445,486,467,483,528,585,625,655,651,676,680,736,771,826,800,819,866,885,884,790,885,922,932,922,928,904,837,855,875,882,886,922,918,971,998,998,1080,1100,1150,1180,1320,1320,,,,,
